BH.Q	ADJ.P	PER	LAG	AMP
Supv3l1	0.201394638546444	0.0145769136180113	22	0	0.36672545326162
Haus1	0.201394638546444	0.0145769136180113	20	2	0.312683727967727
Exosc4	0.201394638546444	0.0145769136180113	24	8	0.178123426613315
Med9	0.201394638546444	0.0145769136180113	22	11.1833333333333	0.151689859814874
Lig4	0.243249756938561	0.019906947875304	20	18	1.47047348841703
Elac2	0.243249756938561	0.019906947875304	20	0	1.45299656086488
Dcaf8	0.243249756938561	0.019906947875304	20	18	1.43115131141198
Znf131	0.243249756938561	0.019906947875304	20	18	1.41803744418944
Rpl28	0.243249756938561	0.019906947875304	24	20	1.20396963362649
Pias1	0.243249756938561	0.019906947875304	20	18	1.16416818965914
Saa4	0.243249756938561	0.019906947875304	20	16	1.10427517070322
Ttf2	0.243249756938561	0.019906947875304	20	16	1.10090129355724
Dimt1	0.243249756938561	0.019906947875304	20	8	1.0413279135515
Lamtor2	0.243249756938561	0.019906947875304	24	4	1.03687654609631
Tle4	0.243249756938561	0.019906947875304	20	16	1.0166999924935
Sgta	0.243249756938561	0.019906947875304	20	16	1.00058221517975
Tk1	0.243249756938561	0.019906947875304	20	16	0.992448676954859
