"","Gene_names_unique","variance_ratio","p_val","q_value_BH"
"Arcn1","Arcn1",4.59352563833933,0.022,0.765108140947752
"Sap30bp","Sap30bp",283.237553623182,0.002,0.612235294117647
"Rab2a","Rab2a",16.6393122119751,0.023,0.765108140947752
"Taf6l","Taf6l",6.72649095129274,0.032,0.765108140947752
"Rpl36","Rpl36",1.75285390159207,0.05,0.765108140947752
"Enpp1","Enpp1",8.16520002225889,0.019,0.765108140947752
"Chp1","Chp1",10.8518766691696,0.018,0.765108140947752
"Tubb6","Tubb6",56.1938960412024,0.014,0.765108140947752
"Nxt2","Nxt2",9.41847150867383,0.044,0.765108140947752
"Adh1","Adh1",4.8359252810478,0.05,0.765108140947752
"Cbx5","Cbx5",2.44144780318977,0.042,0.765108140947752
"Cct7","Cct7",4.08772089188743,0.012,0.765108140947752
"Cpeb4","Cpeb4",3.84867565196379,0.039,0.765108140947752
"Nucks1","Nucks1",5.82800560348366,0.01,0.765108140947752
"Cr1l","Cr1l",6.23031230743753,0.043,0.765108140947752
"Ca3","Ca3",7.68133636022297,0.025,0.765108140947752
"Tufm","Tufm",52.6610443067881,0.028,0.765108140947752
"Use1","Use1",3.84940778894524,0.01,0.765108140947752
"Slc38a10","Slc38a10",4.53586781075619,0.043,0.765108140947752
"Dnajc17","Dnajc17",5.10364029187016,0.005,0.765108140947752
"Strn","Strn",8.97609367516095,0.042,0.765108140947752
"Hdgf","Hdgf",3.75210992934737,0.024,0.765108140947752
"Polr2d","Polr2d",5.93706000136051,0.043,0.765108140947752
"Gnas","Gnas",6.88541879303928,0.048,0.765108140947752
"Cct2","Cct2",45.239276443565,0.014,0.765108140947752
"Ndufa10","Ndufa10",7.14767854819086,0.001,0.578222222222222
"Unknown_6","Unknown_6",5.10707974297975,0.017,0.765108140947752
"Rfc4","Rfc4",3.42191519526475,0.033,0.765108140947752
"Trim8","Trim8",2.99268048845715,0.044,0.765108140947752
"Cybc1","Cybc1",15.0922496415702,0.005,0.765108140947752
"Rpl11","Rpl11",2.77830842116658,0.001,0.578222222222222
"Ppp1r12c","Ppp1r12c",3.57650580884632,0.043,0.765108140947752
"Rplp0","Rplp0",1.64708223874978,0.048,0.765108140947752
"Rpl19","Rpl19",7.12965740596195,0.046,0.765108140947752
"Fkbp8","Fkbp8",2.40582496285367,0.012,0.765108140947752
"Eif3c","Eif3c",6.76478833204617,0.018,0.765108140947752
"Zbtb45","Zbtb45",8.36153076310019,0.012,0.765108140947752
"Hbb-b1","Hbb-b1",21.6034217868696,0.002,0.612235294117647
"Ppp1r12a","Ppp1r12a",3.78433414608067,0.028,0.765108140947752
"Ndufs6","Ndufs6",41.690199044012,0.013,0.765108140947752
"Wrap53","Wrap53",15.9052515271893,0.031,0.765108140947752
"Cyp7a1","Cyp7a1",19.358467988017,0.023,0.765108140947752
"Ssr3","Ssr3",12.3544696528534,0.025,0.765108140947752
"Cope","Cope",4.87689889807765,0.038,0.765108140947752
"Nsmce1","Nsmce1",10.9402247184881,0.016,0.765108140947752
"Susd2","Susd2",12.8087452835226,0.028,0.765108140947752
"Sgf29","Sgf29",9.60804482691815,0.041,0.765108140947752
"Prdx6","Prdx6",186.079298582812,0.011,0.765108140947752
"Abraxas1","Abraxas1",1.77932693074148,0.015,0.765108140947752
"Prkrip1","Prkrip1",4.50256691165262,0.01,0.765108140947752
"Zc3h3","Zc3h3",3.53796117173355,0.028,0.765108140947752
"Arb2a","Arb2a",7.03305586641756,0.032,0.765108140947752
"Unknown_7","Unknown_7",9.01202897751444,0.039,0.765108140947752
"Kdm3a","Kdm3a",5.66043469377779,0.045,0.765108140947752
"Nudt21","Nudt21",12.6532029980507,0.024,0.765108140947752
"Kdm5d","Kdm5d",12.1556511448169,0.028,0.765108140947752
"Rab43","Rab43",7.95924385533063,0.042,0.765108140947752
"Fcgr2","Fcgr2",6.05797436270302,0.035,0.765108140947752
"Lasp1","Lasp1",3.03106160538296,0.034,0.765108140947752
"Zfp91","Zfp91",28.3328071799614,0.024,0.765108140947752
"Pgam1","Pgam1",13.4423673869533,0.044,0.765108140947752
"Bicral","Bicral",5.91101275700441,0.03,0.765108140947752
"Cnp","Cnp",2.67561609048742,0.024,0.765108140947752
"Naalad2","Naalad2",1.5872926367602,0.023,0.765108140947752
"Ppp6r3","Ppp6r3",8.64857357745647,0.002,0.612235294117647
"Zfp646","Zfp646",6.34056547134919,0.037,0.765108140947752
"Echs1","Echs1",91.8709402874771,0.009,0.765108140947752
"Sec23b","Sec23b",3.29244206556908,0.039,0.765108140947752
"Itm2b","Itm2b",425.013381298891,0.005,0.765108140947752
"Ndrg1","Ndrg1",6.1241528590408,0.041,0.765108140947752
"Arf6","Arf6",6.91108233136857,0.03,0.765108140947752
"Krt4","Krt4",10.7566226647299,0.049,0.765108140947752
"Nags","Nags",2.03636402803897,0.028,0.765108140947752
"Atp9a","Atp9a",3.94103066498201,0.033,0.765108140947752
"Apool","Apool",16.4169610477251,0.015,0.765108140947752
"Syvn1","Syvn1",38.8746511263057,0.019,0.765108140947752
"Elovl5","Elovl5",3.59622900162103,0.022,0.765108140947752
"Supt4h1a","Supt4h1a",7.79512567306566,0.013,0.765108140947752
"Gnb4","Gnb4",3.61835805112997,0.048,0.765108140947752
"Baiap2l1","Baiap2l1",298.614419626466,0.006,0.765108140947752
"Adap2","Adap2",5.63922841460044,0.045,0.765108140947752
"Maz","Maz",8.83848397000997,0.045,0.765108140947752
"Mob4","Mob4",4.65634581939162,0.044,0.765108140947752
"Rps27l","Rps27l",7.25538359678698,0.015,0.765108140947752
