"CT0_1"	"CT0_3"	"CT0_4"	"CT12_1"	"CT12_2"	"CT12_4"	"CT16_1"	"CT16_2"	"CT16_4"	"CT20_2"	"CT20_3"	"CT20_4"	"CT4_1"	"CT4_3"	"CT4_4"	"CT8_1"	"CT8_2"	"CT8_3"
"Syne2"	6.16171037571218	6.73460184010025	6.62666163279749	6.14205975374269	6.3634148344067	6.73704953562853	6.8908394099638	6.25445132667984	6.77694327134345	6.42371598486931	6.87796663272296	6.70615732606123	6.96029879447232	6.4176763745905	6.51010699302585	5.61676193174433	6.67718502127049	6.42443664413549
"Tpr"	9.31746610455839	9.70325999339493	8.6761265411626	9.12667843693354	9.06061722918998	9.03248496134612	9.41634018146618	9.172193634319	9.25910281241723	9.33836340205267	9.50886069425772	8.76428657592378	9.45186997366751	9.55188755000879	9.12942657132316	9.23787840939401	9.13717041477969	9.4666765195305
"Ranbp2"	8.88516764066999	9.44174601763564	9.06541217903518	8.92502371871696	9.10670943243358	9.17161667012559	9.247318081169	8.96815372793336	9.14597133507488	9.0185260987332	9.39015211724067	9.06924934964972	9.10291774993544	9.29022652063379	9.31827277378518	8.64810013291832	9.1110855076188	9.20435506778217
"Plec"	5.65318081580208	5.78849140783007	6.5237506989064	5.85650507528431	6.10831764836488	6.66406970665733	6.25401635329147	6.25507967385817	6.42047415252444	6.56807318624496	6.6223342390442	6.707807519627	6.56277526564692	6.48525087099179	6.31716033893071	5.06063878948367	5.7821095192843	6.40766043779724
"Syne1"	5.08308160651649	5.44728168942358	5.38039096217091	5.0650684458558	5.94688403687065	6.13007374680482	5.99240824081557	6.12306134541084	5.12422496142188	4.9398732354889	5.09743498258058	5.40477272515495	5.36278724390231	5.43408000186652	5.59931442950176	4.6330611930922	5.85164844445757	6.16916920786786
"Prpf8"	9.84953339910159	9.79344222047284	8.95549877608206	10.0515999529396	10.1032445000324	9.37118497034118	9.65338091597166	9.8007956885534	9.36604467066016	9.9751913102005	9.64387657670748	9.15934447602628	10.0492271510572	9.69450574231105	9.31107003293345	10.0254110175143	9.28474006222294	9.73344923413525
"Numa1"	8.00479968065252	7.06239127106119	6.80015123875631	6.98906094098416	7.33422641913231	7.50232187740859	7.40186844064586	6.96197222303025	7.21866782479061	6.89969932408647	7.06204135038993	7.61176131544397	7.07060923081754	6.95099225507369	7.58012507168521	7.82771201507093	7.19780810518142	6.62719619189862
"Snrnp200"	10.0128781572802	9.7622159704799	8.88575321068186	9.90096396711799	10.073224158882	9.32439178395094	9.52228033715949	9.88606069703151	9.26627618083282	10.0502609196385	9.69688051266547	9.17890184437075	10.0314720395666	9.67739851040061	9.14072265643091	10.1298360409563	9.30639304320931	9.65776184952804
"Myh9"	6.49831476284658	7.11772544458381	7.71305919117785	6.78722191238687	7.17879356925402	7.06795062100027	6.92420859811945	7.11691585027777	7.0253332446865	6.95084625915984	7.35150948274028	7.54827230431875	7.07623106155266	7.42603961903456	7.05583289390565	6.26007932891016	7.27453223790302	7.42559285926953
"Lmna"	12.1880339493197	12.5834896902053	12.4035863292207	12.3817809554707	12.5188355376797	12.1086587482982	12.2864947079435	12.16403863164	12.3109352470552	12.3474544386517	12.6288650137378	12.1068751085337	12.273804966585	12.3868453934782	12.0793587979155	11.4778884680331	12.5084998512231	12.3332002128265
